15 [[3, 1], [5, 1]]
85 [[5, 1], [17, 1]]
259 [[7, 1], [37, 1]]
391 [[17, 1], [23, 1]]
589 [[19, 1], [31, 1]]
1111 [[11, 1], [101, 1]]
3193 [[31, 1], [103, 1]]
4171 [[43, 1], [97, 1]]
4369 [[17, 1], [257, 1]]
12361 [[47, 1], [263, 1]]
17473 [[101, 1], [173, 1]]
25429 [[59, 1], [431, 1]]
28243 [[61, 1], [463, 1]]
47989 [[37, 1], [1297, 1]]
52537 [[107, 1], [491, 1]]
65641 [[41, 1], [1601, 1]]
68377 [[101, 1], [677, 1]]
83767 [[211, 1], [397, 1]]
91759 [[89, 1], [1031, 1]]
100777 [[179, 1], [563, 1]]
120019 [[257, 1], [467, 1]]
144097 [[103, 1], [1399, 1]]
186367 [[227, 1], [821, 1]]
268321 [[179, 1], [1499, 1]]
286357 [[233, 1], [1229, 1]]
291919 [[67, 1], [4357, 1]]
316171 [[421, 1], [751, 1]]
327937 [[353, 1], [929, 1]]
346063 [[401, 1], [863, 1]]
353029 [[491, 1], [719, 1]]
360301 [[571, 1], [631, 1]]
404797 [[563, 1], [719, 1]]
406867 [[179, 1], [2273, 1]]
524851 [[157, 1], [3343, 1]]
531721 [[619, 1], [859, 1]]
558013 [[593, 1], [941, 1]]
563767 [[199, 1], [2833, 1]]
633727 [[373, 1], [1699, 1]]
705667 [[173, 1], [4079, 1]]
738607 [[677, 1], [1091, 1]]
910489 [[821, 1], [1109, 1]]
970141 [[677, 1], [1433, 1]]
1013539 [[929, 1], [1091, 1]]
1080769 [[199, 1], [5431, 1]]
1093987 [[709, 1], [1543, 1]]
1184233 [[521, 1], [2273, 1]]
1185421 [[599, 1], [1979, 1]]
1223869 [[347, 1], [3527, 1]]
1233823 [[293, 1], [4211, 1]]
1261807 [[883, 1], [1429, 1]]
1264693 [[641, 1], [1973, 1]]
1455889 [[367, 1], [3967, 1]]
1487371 [[503, 1], [2957, 1]]
1529641 [[397, 1], [3853, 1]]
1574383 [[653, 1], [2411, 1]]
1612381 [[227, 1], [7103, 1]]
1617379 [[829, 1], [1951, 1]]
1657531 [[283, 1], [5857, 1]]
1793689 [[331, 1], [5419, 1]]
